Flight Index,Delay (seconds)
UQ2591,0
CZ3749,0
HO1333,0
JD5975,0
SC8804,0
9C7127,0
ZH8977,0
CA1893,12885
CA8571,0
ZH9854,0
CZ3396,0
8L9751,0
MU2760,16216
MU2881,0
CZ8763,0
MU6631,0
MU5235,0
FM9300,3522
MU9913,0
MU2873,0
HU7635,0
CA2671,0
MF8787,0
9C7131,0
DR5083,0
CA1567,0
MU5481,0
CA1802,16523
G54019,0
MU2903,0
CA1143,0
EU2743,0
8L9948,0
CZ8460,3168
CZ2269,0
NS8051,0
CA2837,0
3U3511,0
ZH8651,0
SC4951,0
MU5287,0
HO1131,0
CA4565,4490
CZ3400,0
CZ3283,0
MU6582,0
MU2313,16892
MU2429,10437
3U6413,0
DR6541,0
EU2703,0
MU2779,0
ZH8603,0
3U8047,0
SC2165,0
CZ3366,0
MU9663,0
GY7169,0
9C8707,0
EU6665,0
8L9657,0
MU5657,0
MU2818,0
MU2883,0
GJ6073,0
HU7029,15551
HU7359,0
Y87521,0
SC8842,0
MU5181,0
CZ6213,0
CZ5844,15743
CZ3605,0
HO1855,0
CZ8631,0
ZH9421,0
9C8897,7936
MF8068,3601
ZH9451,0
HU7763,0
MF8041,0
CA8509,0
HU7308,0
MU5399,0
CZ5927,0
MF8469,0
CZ2444,0
JD5939,0
ZH9933,0
GY7115,0
3U8951,0
3U8287,0
CA2659,0
8L9555,0
CZ3123,0
CZ6195,0
MU2981,0
CA1741,0
MU2285,0
EU2309,0
MU2153,0
MU5683,0
GX8811,0
G54991,0
MF8535,0
MF8635,0
8L9825,0
SC4883,0
MU5667,0
CA1751,0
3U8627,0
TW607,0
CZ3205,0
UQ2553,0
MF8075,0
HU7797,0
3U6597,0
MU2252,0
CZ3777,0
9H8465,0
CA2613,0
GS7413,0
3U8069,0
CA8949,0
MU2387,1378
KY8301,0
MU2427,0
MF8241,0
MF8393,0
3U8911,0
3U8235,0
8L9523,0
HO1901,0
MF8434,0
ZH9911,0
MF8143,7840
MU9622,0
CA1939,0
GJ8153,0
CA1759,0
CA4011,13543
NS3297,0
3U8467,0
MF8833,0
SC4721,18033
HU7012,0
HO1207,0
3U6410,0
ZH8380,0
MU6849,0
CZ3857,0
MU6377,0
CZ6545,0
AQ1113,0
CZ6703,2931
ZH9273,0
MU5197,0
CZ5502,0
CA8353,0
HU429,5736
CZ2725,0
DR5027,0
CA8201,0
CZ8412,13008
CZ3354,0
CA2507,0
SC4683,0
CZ3330,0
HO1260,0
GY7263,9777
KN5519,0
HU7891,10978
CA2863,0
8L9897,0
CA2603,0
HO1881,0
MU6563,0
CZ6510,0
GS7437,0
SC2186,0
CZ6603,5324
CZ651Z,0
HO1227,0
MU2907,0
9C7619,11046
MU6641,0
HU7693,0
HU7028,0
ZH9226,0
3U3301,0
BK2957,0
HO1890,0
SC8801,0
SC4831,3125
CZ5257,0
DR5318,10603
CZ2051,0
FM864,12568
MU2905,0
CZ3344,0
MU2426,0
8L9635,0
CZ6513,0
ZH9125,11781
HU7369,0
CZ3789,3873
KY8349,0
MU6301,0
FM9546,0
AQ1361,0
SC4657,0
EU2859,0
PN6315,0
GY7187,0
CZ2841,0
ZH9401,0
A67777,0
MU2693,0
GS7401,0
CZ5651,0
CA4061,0
CA8961,0
HO1075,0
UQ3529,0
CA4391,0
KN2861,0
HU7451,0
MU5099,0
MU2939,0
HU7017,0
MU5814,0
KN5777,0
CZ2747,0
MU5818,0
CA4373,0
9C6293,17945
MU2789,0
CZ6105,0
MU2205,0
CA2919,0
MF8313,0
CZ3403,0
FM9379,0
MU5651,0
CZ3421,0
CZ2853,0
9C6292,0
MU5323,4323
EU1857,0
EU2219,0
CA4401,15151
ZH9837,0
GJ8083,0
MF8445,8338
FM9475,0
GX8831,0
GS7513,0
SQ868,11289
HU7372,0
CA8503,0
MU6907,2261
CZ5995,0
MU5203,0
ZH9533,0
HU7637,0
MU2213,13774
G54683,0
HU7273,0
MU5052,0
CZ6301,0
KE893,0
HO1177,17671
CZ611,11395
3U8362,17604
SC4609,0
CZ6457,7297
CZ3664,0
HU7835,0
FM9486,0
MU2833,0
G54473,0
MU5663,0
CZ6998,0
CA1638,0
KN5917,0
CA1278,0
G54209,0
CZ352,0
CA1839,0
MF886,13737
CZ5125,0
MU6281,0
MU6115,0
CZ3401,0
CZ3409,1100
CN7159,0
HO2010,0
CZ8685,0
CZ2713,0
ZH8085,14383
ZH9337,0
SC2123,0
NS3219,0
CZ2629,16511
CA1375,0
CZ5431,0
CZ5799,0
9C8953,0
MU2460,0
HU7478,0
KY8239,0
HO1289,0
CZ3872,0
MF8927,0
CZ2801,0
CA8325,0
MU6819,0
G52675,0
JR1601,0
CZ8451,0
CZ301,0
HU7080,0
3U3209,0
CA1359,11285
CZ8890,0
CZ6775,0
GS7977,0
MU9710,0
3U3079,0
ZH8959,12335
ZH8013,0
CZ6993,0
KN5888,0
MU2039,0
SQ827,0
3U6957,15172
KN5109,0
CZ6725,0
CZ2863,0
MU6853,0
SC8001,7957
A67225,0
MU5801,0
ZH9727,14738
ZH9432,0
G54439,6241
9C8785,12359
CZ6106,0
9C8589,0
CZ8802,0
MF8115,0
CZ8846,0
JL21,0
CZ6745,0
ZH8669,0
CZ6857,0
CA4305,0
CA8971,0
MU5211,6226
CZ6723,0
CZ3651,15693
ZH9971,0
CZ2215,0
CZ6333,0
KN5869,0
CZ5977,0
MU5507,0
DR6591,0
9C8875,0
ZH8159,0
MU5925,0
HO1031,0
MU2719,0
HU6317,0
CZ2715,0
CZ3591,0
MF8211,0
SC4979,0
CZ6297,0
CZ6125,0
CZ6247,7250
LT8887,0
CZ3350,18130
SC8033,0
CZ6689,0
CA4231,0
MU6567,0
MU5402,0
GS7881,0
CA2712,0
KN5901,0
CZ8854,0
CZ8957,0
MU2189,0
MU6195,0
CZ6619,0
CZ6975,0
CZ623,0
CA2905,0
HO1035,0
MU5843,0
KY828S,0
MU5403,0
3U6711,0
MU501,0
HU7691,0
CA1951,1108
EU2242,0
MU5778,1589
ZH9221,0
CZ6699,0
CZ3196,0
3U8037,0
CA1838,0
KN5809,16571
CZ5133,0
CZ349,15833
8L9689,0
CZ313,17439
ZH9693,0
CZ3151,17347
MU6471,0
MU2435,0
CZ6495,0
HO1710,0
CX384,0
MF8334,0
CA8107,0
HU7861,0
CZ3119,0
HU7431,0
CA1654,0
CZ5010,0
MU6409,0
A67177,0
JD5845,0
ZH9529,13304
KY8205,0
MU5053,0
ZH9403,0
CZ6276,0
FM9324,0
CA901,1038
CZ6481,12427
FU6591,0
CA2719,0
KN5125,0
CZ6311,0
MU279,14218
QW9869,0
CZ357,0
KY8279,0
ZH8948,0
ZH9129,0
CZ2805,0
